interval,joy,neutral,surprise,sadness,fear,anger,disgust
2007Q1,18,726,0,95,37,3,21
2007Q2,10,742,0,75,36,6,31
2007Q3,11,749,0,81,41,6,32
2007Q4,16,732,0,103,27,1,31
2008Q1,25,694,0,117,40,1,33
2008Q2,13,697,0,136,34,2,28
2008Q3,19,671,0,152,35,2,31
2008Q4,15,664,0,175,37,3,26
2009Q1,19,663,0,145,49,3,21
2009Q2,17,697,0,115,45,2,34
2009Q3,23,702,1,117,34,6,37
2009Q4,29,728,1,80,34,4,44
2010Q1,25,700,0,86,49,5,35
2010Q2,23,725,0,80,37,6,39
2010Q3,23,734,0,72,38,8,45
2010Q4,31,749,1,80,30,2,27
2011Q1,28,719,0,68,45,5,35
2011Q2,29,726,1,84,34,0,36
2011Q3,26,770,0,60,37,2,25
2011Q4,27,772,0,65,29,3,24
2012Q1,32,752,0,71,17,4,34
2012Q2,27,790,1,45,21,3,23
2012Q3,28,781,0,46,30,2,33
2012Q4,33,745,0,64,32,3,43
2013Q1,31,741,0,53,36,4,35
2013Q2,28,759,0,58,26,4,35
2013Q3,37,794,1,54,15,0,19
2013Q4,40,749,1,63,33,3,31
2014Q1,18,752,0,64,34,1,31
2014Q2,26,785,1,49,27,0,22
2014Q3,28,796,0,52,21,1,22
2014Q4,20,805,0,53,24,0,18
2015Q1,27,782,0,47,24,0,20
2015Q2,24,779,0,61,21,2,23
2015Q3,17,783,0,54,19,1,46
2015Q4,26,771,1,61,31,4,26
2016Q1,21,809,1,37,16,2,24
2016Q2,27,790,0,43,22,1,27
2016Q3,37,764,1,61,25,1,31
2016Q4,33,778,1,45,28,2,33
2017Q1,39,760,1,40,25,3,23
2017Q2,35,771,0,49,27,1,27
2017Q3,32,788,0,36,27,2,35
2017Q4,30,798,0,43,20,0,29
2018Q1,26,763,1,49,31,1,29
2018Q2,22,775,1,45,24,2,41
2018Q3,29,768,0,49,25,2,47
2018Q4,25,788,1,48,27,2,29
2019Q1,14,761,0,49,37,0,39
2019Q2,18,787,1,47,29,1,27
2019Q3,21,780,1,42,38,0,38
2019Q4,24,756,0,54,49,6,31
2020Q1,27,734,0,43,71,0,25
2020Q2,16,753,0,49,65,1,26
2020Q3,12,807,0,30,53,1,17
2020Q4,19,798,0,29,45,2,27
2021Q1,24,770,2,32,50,1,21
2021Q2,20,739,0,44,67,1,20
