interval,joy,neutral,surprise,sadness,fear,anger,disgust
2007Q1,0,450,0,180,90,0,180
2007Q2,0,455,0,182,91,0,182
2007Q3,0,460,0,184,92,0,184
2007Q4,0,460,0,184,92,0,184
2008Q1,0,455,0,182,91,0,182
2008Q2,0,455,0,182,91,0,182
2008Q3,0,460,0,184,92,0,184
2008Q4,0,460,0,184,92,0,184
2009Q1,0,450,0,180,90,0,180
2009Q2,0,455,0,182,91,0,182
2009Q3,0,460,0,184,92,0,184
2009Q4,0,450,0,180,90,0,180
2010Q1,0,450,0,180,90,0,180
2010Q2,0,455,0,182,91,0,182
2010Q3,3,517,5,166,70,0,159
2010Q4,26,592,8,117,44,6,117
2011Q1,20,584,9,107,57,6,117
2011Q2,26,621,10,89,31,10,123
2011Q3,38,565,7,108,39,10,153
2011Q4,30,551,10,113,44,9,163
2012Q1,33,532,6,121,31,9,178
2012Q2,32,520,10,110,39,2,197
2012Q3,49,535,7,105,31,7,176
2012Q4,32,521,13,117,48,8,181
2013Q1,34,529,15,97,35,10,180
2013Q2,42,542,15,121,23,4,163
2013Q3,45,545,8,94,34,1,193
2013Q4,24,557,10,111,37,4,177
2014Q1,34,513,14,116,54,2,167
2014Q2,32,532,11,101,29,6,199
2014Q3,40,530,9,126,61,3,151
2014Q4,26,528,8,111,76,10,161
2015Q1,17,575,11,111,38,5,143
2015Q2,34,555,10,117,29,6,159
2015Q3,38,537,6,109,44,1,175
2015Q4,27,556,6,91,58,6,176
2016Q1,27,555,7,95,57,10,159
2016Q2,36,536,8,114,24,6,186
2016Q3,22,565,9,95,44,9,166
2016Q4,30,547,9,89,38,14,193
2017Q1,53,551,7,80,30,8,171
2017Q2,38,527,5,93,41,8,188
2017Q3,38,547,7,86,55,5,172
2017Q4,40,536,5,77,37,8,217
2018Q1,37,527,8,78,43,9,198
2018Q2,34,558,6,79,39,5,189
2018Q3,36,540,6,73,37,9,219
2018Q4,40,544,2,88,52,7,177
2019Q1,34,562,4,57,32,5,206
2019Q2,53,544,7,71,41,8,186
2019Q3,35,523,2,71,44,9,236
2019Q4,34,575,2,65,42,8,184
2020Q1,22,535,7,71,132,9,134
2020Q2,20,574,1,41,119,6,149
2020Q3,27,569,2,56,78,4,184
2020Q4,20,615,2,45,68,11,149
2021Q1,16,589,2,45,52,12,184
2021Q2,7,597,2,58,54,7,185
