interval,joy,neutral,surprise,sadness,fear,anger,disgust
2007Q1,11,686,0,136,51,0,16
2007Q2,18,692,0,136,45,1,18
2007Q3,17,665,0,174,51,0,13
2007Q4,8,680,1,169,49,1,12
2008Q1,22,665,1,143,64,1,14
2008Q2,22,712,1,125,39,0,11
2008Q3,15,634,0,158,99,0,14
2008Q4,15,701,0,133,64,0,7
2009Q1,33,685,0,99,66,0,17
2009Q2,29,712,1,86,55,0,27
2009Q3,37,718,1,87,50,1,26
2009Q4,18,710,1,103,54,2,32
2010Q1,22,698,0,90,76,1,13
2010Q2,35,722,1,80,47,0,25
2010Q3,41,740,0,63,48,1,27
2010Q4,33,726,0,77,64,0,17
2011Q1,27,699,3,97,49,1,24
2011Q2,44,709,1,71,65,1,19
2011Q3,27,745,0,69,51,0,28
2011Q4,36,748,1,55,58,0,22
2012Q1,24,757,1,68,34,0,26
2012Q2,35,729,1,78,37,0,30
2012Q3,47,729,1,90,37,1,15
2012Q4,27,731,0,85,44,0,33
2013Q1,37,722,0,62,43,1,35
2013Q2,48,773,0,37,22,2,28
2013Q3,56,798,0,24,16,0,26
2013Q4,56,792,0,32,12,0,28
2014Q1,46,791,0,36,12,0,15
2014Q2,50,796,0,24,16,0,24
2014Q3,70,773,0,29,17,2,29
2014Q4,60,795,1,25,16,1,22
2015Q1,61,782,0,17,14,0,26
2015Q2,86,767,0,18,9,1,29
2015Q3,71,786,2,27,13,4,17
2015Q4,59,770,2,38,19,2,30
2016Q1,62,783,1,26,15,0,23
2016Q2,62,786,2,25,9,1,25
2016Q3,80,769,1,25,8,1,36
2016Q4,80,757,3,21,9,3,47
2017Q1,78,739,2,14,12,3,52
2017Q2,79,713,0,21,20,1,45
2017Q3,79,766,1,22,15,0,37
2017Q4,89,755,3,21,14,0,38
2018Q1,81,733,0,25,14,0,47
2018Q2,97,734,1,27,12,2,37
2018Q3,90,742,1,24,18,0,45
2018Q4,87,754,2,29,13,2,33
2019Q1,77,740,0,29,16,3,35
2019Q2,107,725,2,28,14,0,34
2019Q3,91,742,2,34,12,1,38
2019Q4,114,719,1,29,13,1,43
2020Q1,95,729,4,29,16,3,34
2020Q2,82,740,5,25,25,2,31
2020Q3,105,724,2,26,25,4,34
2020Q4,70,566,2,18,15,2,26
2021Q1,84,718,1,35,25,1,36
2021Q2,90,755,2,27,7,1,28
