interval,joy,neutral,surprise,sadness,fear,anger,disgust
2007Q1,29,788,0,14,23,0,46
2007Q2,49,787,1,16,10,3,44
2007Q3,146,719,4,10,6,3,32
2007Q4,146,736,1,6,2,5,24
2008Q1,161,704,1,7,2,1,34
2008Q2,127,731,6,3,8,3,32
2008Q3,126,729,0,13,8,4,40
2008Q4,118,734,8,24,11,0,25
2009Q1,86,734,1,25,13,1,40
2009Q2,105,736,2,24,14,1,28
2009Q3,174,691,3,6,12,3,31
2009Q4,142,709,1,19,12,1,36
2010Q1,142,699,1,20,12,5,21
2010Q2,155,673,5,27,14,4,32
2010Q3,154,713,2,19,6,2,24
2010Q4,142,726,2,13,7,2,28
2011Q1,125,720,1,14,11,1,28
2011Q2,139,727,4,13,4,2,21
2011Q3,95,785,4,7,3,1,25
2011Q4,85,785,2,15,6,3,24
2012Q1,74,785,1,13,7,0,30
2012Q2,50,779,1,24,23,1,32
2012Q3,65,785,1,24,16,1,28
2012Q4,62,790,0,29,12,0,27
2013Q1,72,759,2,19,8,0,40
2013Q2,71,774,0,20,13,1,31
2013Q3,50,782,2,31,14,2,39
2013Q4,68,798,2,11,9,1,31
2014Q1,103,767,3,4,1,0,22
2014Q2,85,779,3,3,9,4,27
2014Q3,83,796,3,3,9,0,26
2014Q4,100,769,1,6,6,1,37
2015Q1,79,785,1,3,9,1,22
2015Q2,80,786,0,4,13,0,27
2015Q3,79,796,0,3,4,1,37
2015Q4,64,818,0,4,15,2,17
2016Q1,80,785,4,8,10,0,23
2016Q2,99,768,6,9,6,1,21
2016Q3,75,790,3,18,6,2,26
2016Q4,95,759,2,27,12,2,23
2017Q1,85,731,4,28,17,2,33
2017Q2,116,725,2,23,14,1,29
2017Q3,98,759,0,27,12,5,19
2017Q4,133,744,6,8,5,0,24
2018Q1,138,707,3,20,10,0,22
2018Q2,177,690,3,9,12,2,17
2018Q3,173,700,4,13,11,0,19
2018Q4,187,696,5,11,8,0,13
2019Q1,164,690,0,21,10,1,14
2019Q2,163,692,3,24,7,1,20
2019Q3,151,734,2,7,6,0,20
2019Q4,181,702,2,12,9,1,13
2020Q1,122,720,2,18,28,1,19
2020Q2,67,728,2,38,55,0,20
2020Q3,72,750,4,46,27,1,20
2020Q4,111,744,3,30,20,1,11
2021Q1,97,748,2,28,9,1,15
2021Q2,84,754,1,37,20,0,14
