publish_date,headline_text
2007-01-01,Ahern backs Benedict's call for world peace
2007-01-01,Two killed in Co Kildare house fire
2007-01-01,Adams urges republicans to address policing issue
2007-01-01,Bulgaria; Romania formally join EU
2007-01-01,Search for missing Belfast man
2007-01-01,Man remanded on weapons charges
2007-01-01,Witnesses to Fermoy stabbing sought
2007-01-01,Pedestrian killed in Sligo crash
2007-01-01,Man fatally stabbed at Tralee party
2007-01-01,Irish becomes official language of EU
2007-01-02,Drink-driving arrests up by a third in 2006
2007-01-02,Fate of Indonesia flight remains uncertain
2007-01-02,Ford funeral takes place in Washington
2007-01-02,House price growth stalls in quarter - report
2007-01-02,Man arrested after woman stabbed
2007-01-02,Gardai investigate Mullingar robbery
2007-01-02,Girl (15) found safe and well
2007-01-02,Floods show global warming - Greens
2007-01-02,IDA firms boost economy by €15bn
2007-01-02,Man remanded over Tralee stabbing
2007-01-03,Exchequer figures reveal surplus of €2.265 billion for 2006
2007-01-03,SF raises doubts over response on policing
2007-01-03,Charges against men accused of Northern Bank heist dropped
2007-01-03,Inquiry into removal of Irish tourist's organs
2007-01-03,US 'raised concerns' over Saddam hanging
2007-01-03,Deasy 'would consider' FG leadership
2007-01-03,Man's body recovered off Galway
2007-01-03,52 million cigarettes seized in 2006
2007-01-03,Man remanded over Clare knife attack
2007-01-03,Minister urges care on work safety
2007-01-04,Blair threatens to cancel NI elections
2007-01-04,Iraq identifies guards in Saddam execution video
2007-01-04,Spain's PM still optimistic despite explosives find
2007-01-04,Pelosi becomes first woman to lead US House
2007-01-04,No special treatment for accused gardaí - Garda chief
2007-01-04,Minister announces extra psychologists
2007-01-04,Man; boy (6) hurt in Longford shooting
2007-01-04,Limerick maternity midwives seek staff
2007-01-04,Belfast one of healthiest UK cities
2007-01-04,HSE dismisses A&E report concerns
2007-01-05,FG leader sends written warning to Deasy
2007-01-05,Sinn Fein says DUP has not agreed to share power
2007-01-05,O'Leary brands UK minister 'foolish' over emissions claim
2007-01-05,Bush nominates Negroponte as deputy secretary of state
2007-01-05,Men linked to Armagh arson attack discharged
2007-01-05,3 for NI court on extortion charges
2007-01-05,Fiennes to showcase Beckett in Oz
2007-01-05,600 NI Christmas drink-driving arrests
2007-01-05,Pit bull dogs seized at Armagh farm
2007-01-05,Five charged with sexual assault on girl
2007-01-06,Four arrested over €1m cannabis haul in Dublin
2007-01-06,Iraq PM plans insurgent crackdown
2007-01-06,Donaldson optimistic over power-sharing
2007-01-06,Man hospitalised after Belfast attack
2007-01-06,Archbishop urges equal standards
2007-01-06,Legal aid waiting times cut
2007-01-06,Church appeal over 'disappeared'
2007-01-06,Man charged over NI post office raid
2007-01-06,At least 13 killed in Congo pit collapse
2007-01-06,Separist rebels kill 48 in India
2007-01-07,Power sharing must not stall now - Ahern
2007-01-07,Gardai arrest woman over Cork murder
2007-01-07,David Ervine critically ill in hospital
2007-01-07,Shots fired at house in Cooklock
2007-01-07,Gardai seize firearms in Dublin
2007-01-07,Churches appeal over 'disappeared'
2007-01-07,OECD to review public service
2007-01-07,CoI bishops to elect new primate
2007-01-07,Pedestrian killed in Dublin crash
2007-01-07,Pilot scheme for new Dublin toilets
2007-01-08,PUP leader David Ervine dies in hospital
2007-01-08,Paisley disputes NI policing timetable
2007-01-08,Russia oil row hits Europe supply
2007-01-08,Body found in Medjugorje may be Dublin woman
2007-01-08,Tributes paid to PUP leader Ervine
2007-01-08,Belfast court refuses Shoukri bail
2007-01-08,Greens in call for renewable energy
2007-01-08,Parties tangle on SF role in government
2007-01-08,Mabs role in licensing money lenders
2007-01-08,Worker killed on Donegal building site
2007-01-09,SF to reconsider plans for policing ardfheis
2007-01-09,PSNI arrest man over Dublin care facility deaths
2007-01-09,Bosnian police rule out foul play in Medjugorje death
2007-01-09,'Many dead' in US air attacks in Somalia
2007-01-09,Demise of rural pub exaggerated; says RSA cheif
2007-01-09,Restructuring deal at Shannon rejected
2007-01-09,Laws dating back to 1066 to be repealed
2007-01-09,Omagh accused not to testify
2007-01-09,McGuinness to stand in general election
2007-01-09,NI pigs cleared of foot-and-mouth
2007-01-10,MI5 and PSNI to be separate; Blair confirms
2007-01-10,Search underway for missing Wexford trawler
2007-01-10,Two charged with manslaughter over Joel death
2007-01-10,Harper elected as new Church of Ireland Primate
2007-01-10,Mental hospital accused of infringing patients' rights
2007-01-10,Commission seeks 20% cut in emissions by 2020
2007-01-10,Govt commits to meeting new climate targets
2007-01-10,Man killed in Down road collision
2007-01-10,Children's longitudinal study unveiled
2007-01-10,New farm safety campaign launched
2007-01-11,Seven fishermen feared drowned off Waterford
2007-01-11,Crumlin withdraws from children's hospital development
2007-01-11,Bush to send 21;000 more troops to Iraq
2007-01-11,Plane landed at wrong airport
2007-01-11,Orde warns of political failure
2007-01-11,Neeson in Dublin for Unicef Ireland
2007-01-11,Airport disrupted as man flees gardaí
2007-01-11,Rabbitte issues warning on economy
2007-01-11,Omagh trial to finish next week
2007-01-11,Dublin man jailed for child sex abuse
2007-01-12,Coastguard finds wreck of missing trawler
2007-01-12,Sinn Féin says DUP reneged on policing deal
2007-01-12,Thousands turn out for funeral of David Ervine
2007-01-12,Irish Ferries €4.3m rebate condemned
2007-01-12,Meath man wins extradition case
2007-01-12,PSNI hunt gang after armed robbery
2007-01-12,President saddened by fishing tragedy
2007-01-12,Gardaí investigate Limerick shooting
2007-01-12,Armagh man jailed for £1m fraud
2007-01-12,Donegal 'tiger kidnap' investigated
2007-01-13,SF ard chomairle meeting in Dublin
2007-01-13,Malahide drugs seizure brings garda haul to €7.1m
2007-01-13,Search hampered by stormy seas
2007-01-13,Bush says critics must offer alternative
2007-01-13,Missing US teens discovered alive
2007-01-13,Rice embarks on Mideast trip
2007-01-13,Man released in Limerick shooting probe
2007-01-13,Gardai name dead woman
2007-01-13,Man dies in Galway crash
2007-01-13,NI police hunt jewel thieves
2007-01-14,SF to seek views on policing move
2007-01-14,Archbishop 'upset' at Crumlin withdrawal
2007-01-14,Weather hampers sea search
2007-01-14,Man's body found in Sligo
2007-01-14,DUP responds to SF policing move
2007-01-14,Sinn Fein Ard Fheis motion on policing
2007-01-14,Rabitte upbeat on election chances
2007-01-14,Search broadened for Lithuanian man
2007-01-14,PSNI searching for teen burglers
2007-01-14,Taoiseach heads gulf trade mission
2007-01-15,Gardaí find car used in security van robbery
2007-01-15,Iraqi executions condemned worldwide
2007-01-15,Mideast at top of State's foreign policy agenda - Ahern
2007-01-15,Amended Folens interview to be aired
2007-01-15,Navy hopeful of dive for missing trawler tomorrow
2007-01-15,Heaney awarded TS Eliot poetry prize
2007-01-15,North deal rests with SF - Paisley
2007-01-15,Gardaí investigate Meath bank robbery
2007-01-15,IBOA welcomes talks on BOI pension
2007-01-15,Winding up of Joe Burke firm ordered
2007-01-16,Harney 'standing firm' on Mater decision
2007-01-16,Two fishermen rescued off south east coast
2007-01-16,Scores killed in Baghdad university bombing
2007-01-16,'Misunderstanding' blamed for letters on sex offender
2007-01-16,SF policing meetings to begin at weekend
2007-01-16,Mater move planned 5 years ago - FG
2007-01-16,Lotto winner loses case over pub
2007-01-16,Closing statements in Omagh case
2007-01-16,McDowell considers new security laws
2007-01-16,Court told Shell 'let men stay in jail'
2007-01-17,Temple Street backs Mater site for hospital
2007-01-17,Poor weather restricts search for missing fishermen
2007-01-17,Olmert under pressure as military chief quits
2007-01-17,Merkel warns of 'historic failure' on EU charter
2007-01-17,Judgment reserved in Omagh bomb trial
2007-01-17,Man in custody over Saulite murder
2007-01-17,Environmentalist warns of last chance
2007-01-17,Collusion report to name RUC officers
2007-01-17,Injury insurance for psychiatric nurses
2007-01-17,New initiative to highlight bullying
2007-01-18,Severe winds cause widespread disruption
2007-01-18,Republican Sinn Féin rejects Adams offer of talks
2007-01-18,EC could take action over VHI
2007-01-18,Security firms reveal new safety measures
2007-01-18,Interest rates push inflation to 4-year high
2007-01-18,Section of M50 reopens after crash
2007-01-18,HSE announces trolley figures for 2006
2007-01-18,Drug culture undermines prison regime
2007-01-18,Weather again restricts sea searches
2007-01-18,McDowell blocks EU asylum seekers
2007-01-19,Harney rejects cancer plan criticism
2007-01-19,Blair aide arrested in 'cash-for-honours' inquiry
2007-01-19,Jade Goody evicted from C4's 'Big Brother' house
2007-01-19,Man (60) stabbed to death in Tallaght
2007-01-19,US outlines rules for Guantanamo trials
2007-01-19,Bausch & Lomb issues protective notice
2007-01-19,New M50 slip-road opens tomorrow
2007-01-19,Garda appeal for missing Dublin woman
2007-01-19,Damages awarded over DJ death
2007-01-19,Ahern calls for united Irish soccer team
2007-01-20,Hundreds take part in sea searches
2007-01-20,US helicopter crashes in Iraq killing 13
2007-01-20,Winter vomiting outbreak at Galway hospital
2007-01-20,SF's task is to deliver a non-partisan police service - Adams
2007-01-20,Clinton takes first step in bid for White House
2007-01-20,Arrest of Blair aide angers Labour politicians
2007-01-20,Gardai investigate Galway stabbing
2007-01-20,Two charged after Antrim drug raids
2007-01-20,Man killed after car hits wall in Mayo
2007-01-20,PSNI investigates Antrim assaults
2007-01-21,Pollution scare as UK ship sheds toxic cargo
2007-01-21,Teenager shot editor for insulting Turks - report
2007-01-21,Talks to avoid strike action at Bausch & Lomb plant
2007-01-21,Policing deal will not cement partition; says Adams
2007-01-21,19 US soldiers killed in Iraq as new troops arrive
2007-01-21,Islands feud over Father Ted festival
2007-01-21,GP seeks rail systems for Cork; Galway
2007-01-21,Male pedestrian killed in Cork crash
2007-01-21,Croke Park plan to end congestion
2007-01-21,Supermodel to showcase Irish design
2007-01-22,Police colluded with UVF; report confirms
2007-01-22,Murder suspect interviews 'a sham'
2007-01-22,Over 100 thought killed in Baghdad attacks
2007-01-22,Violent crime figures show increase
2007-01-22,Stricter NI dumping laws proposed
2007-01-22,Purvis chosen as new PUP leader
2007-01-22,Blast at Gaza television station
2007-01-22,Iran bans 38 nuclear inspectors
2007-01-22,O'Loan report deeply disturbing - Ahern
2007-01-22,Kidnappers arrested in Belfast
2007-01-23,Taoiseach lauds €184 billion spending plan
2007-01-23,Flanagan resists resignation calls
2007-01-23,Ireland among most complicit in renditions - report
2007-01-23,O'Toole secures eighth Oscar nomination
2007-01-23,Dobriansky new US envoy to NI
2007-01-23,Cyclist killed on Co Kerry road
2007-01-23,Chef goes on trial for IRA membership
2007-01-23,B of I told to open pension scheme
2007-01-23,Flanagan denies knowledge of collusion
2007-01-23,Divers hope to reach 'Honey Dew II'
2007-01-24,Dublin man murdered in front of girlfriend
2007-01-24,Named ex-Branch officers hit out at O'Loan
2007-01-24,Martin launches Irish 'Green Card'
2007-01-24,Commission begins legal action over VHI
2007-01-24,Ahern calls for British action on collusion
2007-01-24,MPs want NI justice schemes vetted
2007-01-24,Man dies in Co Monaghan crash
2007-01-24,Ahern marks 3;500 days in office
2007-01-24,Court hears of human sacrifice ritual
2007-01-24,Purvis to take Ervine's Stormont seat
2007-01-25,UN experts warn of 1;000 years of rising sea levels
2007-01-25,McDowell rules out joining rainbow coalition
2007-01-25,Unidentified Stardust victims to be exhumed
2007-01-25,Harney announces draft residential-care standards
2007-01-25,€5.8bn pledged at Lebanon summit
2007-01-25,Dublin Port strike due to go ahead
2007-01-25,10-minute wait before arrest; trial hears
2007-01-25,Bowel in chest cavity; inquest hears
2007-01-25,Fall in political emblems on NI streets
2007-01-25,New search of trawlers tomorrow
2007-01-26,Clashes among Palestinian factions leave 12 dead
2007-01-26,Harney talks tough on consultant impasse
2007-01-26,Taoiseach defends Killeen over early release plea
2007-01-26,Environment watchdog agrees to Shell refinery
2007-01-26,Derry airport gets cross-border funding
2007-01-26,Appeal over Tyrone jewellers srobbery
2007-01-26,Ictu concern for student work permits
2007-01-26,Dublin to premiere paedophile film
2007-01-26,New appeal over Tallaght murder
2007-01-26,Arrest 'not unlawful' - IRA trial hears
2007-01-27,Car bombs leave 15 dead in Baghdad
