Interval,Top Keyword,Count,sentiment
2007Q1,Dublin,33,neutral
2007Q1,Belfast,18,neutral
2007Q1,Galway,13,neutral
2007Q1,murder,13,negative
2007Q1,Ling,12,neutral
2007Q1,Sin,10,neutral
2007Q1,Iraq,10,neutral
2007Q1,sex,10,neutral
2007Q1,Iran,9,neutral
2007Q1,Meat,8,neutral
2007Q1,Baghdad,8,neutral
2007Q1,crash,7,neutral
2007Q1,stabbing,6,negative
2007Q1,power,6,neutral
2007Q1,road,6,neutral
2007Q1,abuse,6,neutral
2007Q1,robbery,5,neutral
2007Q1,Limerick,5,neutral
2007Q1,sharing,5,neutral
2007Q1,government,5,neutral
2007Q1,Done,5,positive
2007Q1,man,5,neutral
2007Q1,strike,5,neutral
2007Q1,Cork,5,neutral
2007Q1,Tao,5,neutral
2007Q1,flu,5,neutral
2007Q1,fire,4,neutral
2007Q1,policing,4,neutral
2007Q1,leader,4,neutral
2007Q1,Ireland,4,neutral
2007Q1,child,4,neutral
2007Q1,off,4,neutral
2007Q1,consultant,4,neutral
2007Q1,protest,4,neutral
2007Q1,bird,4,neutral
2007Q1,death,4,negative
2007Q1,crime,4,neutral
2007Q1,rape,4,neutral
2007Q1,house,3,neutral
2007Q1,economy,3,neutral
2007Q1,Long,3,neutral
2007Q1,shooting,3,neutral
2007Q1,Armagh,3,neutral
2007Q1,David,3,neutral
2007Q1,service,3,neutral
2007Q1,energy,3,neutral
2007Q1,arrest,3,neutral
2007Q1,drugs,3,negative
2007Q1,seizure,3,neutral
2007Q1,Mat,3,neutral
2007Q2,Dublin,33,neutral
2007Q2,murder,15,negative
2007Q2,coalition,11,neutral
2007Q2,Nurse,10,neutral
2007Q2,Cork,8,neutral
2007Q2,Iran,7,neutral
2007Q2,Tao,7,neutral
2007Q2,Galway,7,neutral
2007Q2,Belfast,7,neutral
2007Q2,Limerick,6,neutral
2007Q2,health,6,neutral
2007Q2,Iraq,6,neutral
2007Q2,duty,6,neutral
2007Q2,crash,6,neutral
2007Q2,Derry,6,neutral
2007Q2,consultant,5,neutral
2007Q2,Murder,5,neutral
2007Q2,stamp,5,neutral
2007Q2,house,5,neutral
2007Q2,collision,4,neutral
2007Q2,protest,4,neutral
2007Q2,death,4,negative
2007Q2,deal,4,neutral
2007Q2,stabbing,4,negative
2007Q2,shooting,4,neutral
2007Q2,mental,4,neutral
2007Q2,war,4,neutral
2007Q2,Hamas,4,neutral
2007Q2,Fine,4,positive
2007Q2,government,4,neutral
2007Q2,road,4,neutral
2007Q2,Opposition,4,neutral
