country,Top Keyword,sentiment
Australia,bag,neutral
Australia,ant,neutral
Australia,murder,negative
Australia,water,neutral
Australia,world,neutral
Australia,cup,neutral
Australia,mac,neutral
Australia,aged,neutral
Australia,care,neutral
Australia,art,positive
Australia,youth,neutral
Australia,air,neutral
Australia,drug,neutral
Australia,flood,neutral
Australia,seek,neutral
Australia,counsel,neutral
Australia,ferry,neutral
Australia,cane,neutral
Australia,arch,neutral
Australia,anti,neutral
Australia,recycled,neutral
Australia,bomb,neutral
Australia,takeover,neutral
Australia,council,neutral
Australia,hawk,neutral
Australia,black,neutral
Australia,arm,neutral
Australia,riot,neutral
Australia,weather,neutral
Australia,apple,positive
Australia,tax,neutral
Australia,plane,neutral
Australia,minister,neutral
Australia,pollution,neutral
Australia,can,neutral
Australia,buy,neutral
Australia,ambulance,neutral
Australia,cargo,neutral
Australia,bird,neutral
Australia,flu,neutral
Australia,cancer,neutral
Australia,fund,neutral
Australia,hill,neutral
Australia,all,neutral
Australia,airs,neutral
Australia,port,neutral
Australia,environmental,neutral
Australia,iron,neutral
Australia,force,neutral
Australia,attack,neutral
Australia,sex,neutral
Australia,can,neutral
Australia,care,neutral
Australia,uranium,neutral
Australia,home,neutral
Australia,murder,negative
Australia,child,neutral
Australia,price,neutral
Australia,fixing,neutral
Australia,climate,neutral
Australia,change,neutral
Australia,tiger,neutral
Australia,radio,neutral
Australia,affordable,neutral
Australia,housing,neutral
Australia,drought,neutral
Australia,aged,neutral
Australia,cup,neutral
Australia,solo,neutral
Australia,tsunami,neutral
Australia,mac,neutral
Australia,apple,positive
Australia,anti,neutral
Australia,protest,neutral
Australia,water,neutral
Australia,war,neutral
Australia,criminal,negative
Australia,euro,neutral
Australia,solar,neutral
Australia,off,neutral
Australia,car,neutral
Australia,bill,neutral
Australia,centre,neutral
Australia,community,neutral
Australia,takeover,neutral
Australia,fat,neutral
Australia,health,neutral
Australia,mayor,neutral
Australia,mum,neutral
Australia,death,negative
Australia,ambulance,neutral
Australia,internet,neutral
Australia,bounty,neutral
Australia,age,neutral
Australia,theft,negative
Australia,algae,neutral
Australia,disaster,negative
Australia,law,neutral
Australia,road,neutral
Australia,rap,neutral
Australia,interview,neutral
Australia,suicide,negative
Australia,horse,neutral
Australia,terrorism,negative
Australia,air,neutral
Australia,anti,neutral
Australia,flood,neutral
Australia,child,neutral
Australia,flu,neutral
Australia,bar,neutral
Australia,bra,neutral
Australia,climate,neutral
Australia,mayor,neutral
Australia,mill,neutral
Australia,and,neutral
Australia,aged,neutral
Australia,care,neutral
Australia,beat,neutral
Australia,change,neutral
Australia,sex,neutral
Australia,abuse,neutral
Australia,attack,neutral
Australia,housing,neutral
Australia,bag,neutral
Australia,bang,neutral
Australia,bomb,neutral
Australia,power,neutral
Australia,gas,neutral
Australia,drug,neutral
Australia,art,positive
Australia,home,neutral
Australia,gold,positive
Australia,pat,neutral
Australia,health,neutral
Australia,season,neutral
Australia,blast,positive
Australia,pulp,neutral
Australia,can,neutral
Australia,centre,neutral
Australia,all,neutral
Australia,protest,neutral
Australia,government,neutral
Australia,grand,neutral
Australia,amalgamation,neutral
Australia,court,neutral
Australia,strike,neutral
Australia,world,neutral
Australia,ambulance,neutral
Australia,bail,neutral
Australia,trade,neutral
Australia,ant,neutral
Australia,suicide,negative
Australia,climate,neutral
Australia,centre,neutral
Australia,murder,negative
Australia,sex,neutral
Australia,change,neutral
Australia,bush,neutral
Australia,bra,neutral
Australia,school,neutral
Australia,assault,negative
Australia,attack,neutral
Australia,anti,neutral
Australia,abuse,neutral
Australia,can,neutral
Australia,alcohol,neutral
Australia,air,neutral
Australia,bomb,neutral
Australia,bag,neutral
Australia,arch,neutral
Australia,bar,neutral
Australia,and,neutral
Australia,south,neutral
Australia,pulp,neutral
Australia,mill,neutral
Australia,health,neutral
Australia,cup,neutral
Australia,wind,neutral
Australia,farm,neutral
Australia,election,neutral
Australia,abortion,neutral
Australia,parole,neutral
Australia,care,neutral
Australia,child,neutral
Australia,con,neutral
Australia,car,neutral
Australia,stabbing,negative
Australia,court,neutral
Australia,rape,neutral
Australia,net,neutral
Australia,tiger,neutral
Australia,ale,neutral
Australia,flood,neutral
Australia,boxing,neutral
Australia,review,neutral
Australia,mental,neutral
Australia,hospital,neutral
Australia,gold,positive
Australia,refugee,neutral
Australia,robbery,neutral
Australia,murder,negative
Australia,sex,neutral
Australia,ant,neutral
Australia,heat,neutral
Australia,aged,neutral
Australia,care,neutral
Australia,interview,neutral
Australia,algae,neutral
Australia,bag,neutral
Australia,suicide,negative
Australia,club,neutral
Australia,whale,neutral
Australia,coast,neutral
Australia,blast,positive
Australia,abuse,neutral
Australia,power,neutral
Australia,child,neutral
Australia,east,neutral
Australia,music,neutral
Australia,baby,positive
Australia,water,neutral
Australia,air,neutral
Australia,arm,neutral
Australia,gold,positive
Australia,sun,neutral
Australia,drug,neutral
Australia,rape,neutral
Australia,ledge,neutral
Australia,fraud,negative
Australia,day,neutral
Australia,rights,neutral
Australia,fly,neutral
Australia,home,neutral
Australia,eagle,neutral
Australia,heroin,positive
Australia,tourism,neutral
Australia,nuclear,neutral
Australia,anti,neutral
Australia,assault,negative
Australia,red,neutral
Australia,drought,neutral
Australia,rap,neutral
Australia,murderer,negative
Australia,loan,neutral
Australia,thief,negative
Australia,health,neutral
Australia,flood,neutral
Australia,blood,neutral
Australia,pool,neutral
Australia,surgery,neutral
Australia,interview,neutral
Australia,torch,neutral
Australia,murder,negative
Australia,tax,neutral
Australia,fuel,neutral
Australia,bag,neutral
Australia,water,neutral
Australia,assault,negative
Australia,sex,neutral
Australia,child,neutral
Australia,cannabis,neutral
Australia,anti,neutral
Australia,air,neutral
Australia,drug,neutral
Australia,abuse,neutral
Australia,lock,neutral
Australia,doom,neutral
Australia,man,neutral
Australia,coal,neutral
Australia,blast,positive
Australia,carbon,neutral
Australia,rape,neutral
Australia,war,neutral
Australia,same,neutral
Australia,time,neutral
Australia,trading,neutral
Australia,energy,neutral
Australia,sect,neutral
Australia,mother,neutral
Australia,school,neutral
Australia,wall,neutral
Australia,bridge,neutral
Australia,act,neutral
Australia,election,neutral
Australia,rap,neutral
Australia,road,neutral
Australia,cost,neutral
Australia,bomb,neutral
Australia,bra,neutral
Australia,park,neutral
Australia,hawk,neutral
Australia,change,neutral
Australia,orbit,neutral
Australia,cold,neutral
Australia,care,neutral
Australia,housing,neutral
Australia,stalk,neutral
Australia,burn,neutral
Australia,dog,neutral
Australia,killer,negative
Australia,interview,neutral
Australia,murder,negative
Australia,air,neutral
Australia,power,neutral
Australia,climate,neutral
Australia,rape,neutral
Australia,wall,neutral
Australia,carpenter,neutral
Australia,stabbing,negative
Australia,sex,neutral
Australia,change,neutral
Australia,suicide,negative
Australia,aged,neutral
Australia,care,neutral
Australia,school,neutral
Australia,criminal,negative
Australia,storm,neutral
Australia,child,neutral
Australia,centre,neutral
Australia,coal,neutral
Australia,protest,neutral
Australia,rap,neutral
Australia,force,neutral
Australia,youth,neutral
Australia,blast,positive
Australia,housing,neutral
Australia,cocaine,neutral
Australia,para,neutral
Australia,attack,neutral
Australia,mac,neutral
Australia,anti,neutral
Australia,war,neutral
Australia,flu,neutral
Australia,affairs,neutral
Australia,carbon,neutral
Australia,rights,neutral
Australia,extra,neutral
Australia,salt,neutral
Australia,traffic,neutral
Australia,controller,neutral
Australia,bio,neutral
Australia,sing,neutral
Australia,internet,neutral
Australia,station,neutral
Australia,ball,neutral
Australia,affordable,neutral
Australia,drug,neutral
Australia,new,neutral
Australia,home,neutral
Australia,assault,negative
Australia,green,positive
Australia,care,neutral
Australia,aged,neutral
Australia,mum,neutral
Australia,drug,neutral
Australia,crisis,neutral
Australia,climate,neutral
Australia,change,neutral
Australia,act,neutral
Australia,protest,neutral
Australia,air,neutral
Australia,assault,negative
Australia,alcohol,neutral
Australia,mac,neutral
Australia,home,neutral
Australia,sex,neutral
Australia,suicide,negative
Australia,power,neutral
Australia,ant,neutral
Australia,bag,neutral
Australia,can,neutral
Australia,abortion,neutral
Australia,ale,neutral
Australia,slam,neutral
Australia,speed,neutral
Australia,murder,negative
Australia,lead,neutral
Australia,super,positive
Australia,bombing,neutral
Australia,school,neutral
Australia,con,neutral
Australia,train,neutral
Australia,blast,positive
Australia,music,neutral
Australia,boat,neutral
Australia,takeover,neutral
Australia,crime,neutral
Australia,animal,neutral
Australia,land,neutral
Australia,backpack,neutral
Australia,crash,neutral
Australia,milk,neutral
Australia,trial,neutral
Australia,refugee,neutral
Australia,earthquake,neutral
Australia,fast,neutral
Australia,uranium,neutral
Australia,ball,neutral
Australia,labor,neutral
Australia,bus,neutral
Australia,bush,neutral
Australia,act,neutral
Australia,bang,neutral
Australia,power,neutral
Australia,green,positive
Australia,murder,negative
Australia,home,neutral
Australia,sex,neutral
Australia,stimulus,neutral
Australia,suicide,negative
Australia,shooting,neutral
Australia,drug,neutral
Australia,child,neutral
Australia,air,neutral
Australia,anti,neutral
Australia,water,neutral
Australia,festival,neutral
Australia,people,neutral
Australia,airport,neutral
Australia,climate,neutral
Australia,cannabis,neutral
Australia,bank,neutral
Australia,rights,neutral
Australia,new,neutral
Australia,war,neutral
Australia,road,neutral
Australia,aged,neutral
Australia,care,neutral
Australia,ant,neutral
Australia,crime,neutral
Australia,black,neutral
Australia,coach,neutral
Australia,turkey,neutral
Australia,tourism,neutral
Australia,heat,neutral
Australia,bend,neutral
Australia,nickel,neutral
Australia,traffic,neutral
Australia,invasion,neutral
Australia,change,neutral
Australia,bust,neutral
Australia,heroin,positive
Australia,bombing,neutral
Australia,nursing,neutral
Australia,energy,neutral
Australia,protest,neutral
Australia,world,neutral
Australia,interview,neutral
Australia,year,neutral
Australia,mall,neutral
Australia,interview,neutral
Australia,flu,neutral
Australia,air,neutral
Australia,day,neutral
Australia,bang,neutral
Australia,murder,negative
Australia,land,neutral
Australia,housing,neutral
Australia,act,neutral
Australia,bar,neutral
Australia,health,neutral
Australia,suicide,negative
Australia,bush,neutral
Australia,can,neutral
Australia,child,neutral
Australia,home,neutral
Australia,war,neutral
Australia,rape,neutral
Australia,asylum,neutral
Australia,seek,neutral
Australia,self,neutral
Australia,prison,neutral
Australia,assault,negative
Australia,affordable,neutral
Australia,east,neutral
Australia,bag,neutral
Australia,public,neutral
Australia,bra,neutral
Australia,festival,neutral
Australia,drug,neutral
Australia,aged,neutral
Australia,care,neutral
Australia,robbery,neutral
Australia,attack,neutral
Australia,hall,neutral
Australia,service,neutral
Australia,turn,neutral
Australia,mark,neutral
Australia,flood,neutral
Australia,water,neutral
Australia,yacht,neutral
Australia,race,neutral
Australia,council,neutral
Australia,town,neutral
Australia,river,neutral
Australia,ski,neutral
Australia,dean,neutral
Australia,trafficking,neutral
Australia,road,neutral
Australia,nursing,neutral
Australia,murder,negative
Australia,flu,neutral
Australia,rape,neutral
Australia,assault,negative
Australia,sex,neutral
Australia,care,neutral
Australia,abortion,neutral
Australia,climate,neutral
Australia,fraud,negative
Australia,turn,neutral
Australia,school,neutral
Australia,jack,neutral
Australia,people,neutral
Australia,air,neutral
Australia,ball,neutral
Australia,black,neutral
Australia,drug,neutral
Australia,suicide,negative
Australia,war,neutral
Australia,power,neutral
Australia,bra,neutral
Australia,interview,neutral
Australia,queen,positive
Australia,range,neutral
Australia,alcohol,neutral
Australia,aged,neutral
Australia,bar,neutral
Australia,change,neutral
Australia,home,neutral
Australia,car,neutral
Australia,bush,neutral
Australia,extra,neutral
Australia,pay,neutral
Australia,lot,neutral
Australia,bullying,negative
Australia,festival,neutral
Australia,crash,neutral
