interval,publish_date,Positive,Negative
2007Q1,2007-01-01,425,475
2007Q2,2007-04-01,410,490
2007Q3,2007-07-01,410,510
2007Q4,2007-10-01,418,492
2008Q1,2008-01-01,422,488
2008Q2,2008-04-01,396,514
2008Q3,2008-07-01,421,489
2008Q4,2008-10-01,388,532
2009Q1,2009-01-01,381,519
2009Q2,2009-04-01,396,514
2009Q3,2009-07-01,397,523
2009Q4,2009-10-01,431,489
2010Q1,2010-01-01,440,460
2010Q2,2010-04-01,404,506
2010Q3,2010-07-01,441,479
2010Q4,2010-10-01,438,482
2011Q1,2011-01-01,433,467
2011Q2,2011-04-01,407,503
2011Q3,2011-07-01,462,458
2011Q4,2011-10-01,489,431
2012Q1,2012-01-01,460,450
2012Q2,2012-04-01,480,430
2012Q3,2012-07-01,475,445
2012Q4,2012-10-01,493,427
2013Q1,2013-01-01,498,402
2013Q2,2013-04-01,470,440
2013Q3,2013-07-01,493,427
2013Q4,2013-10-01,494,426
2014Q1,2014-01-01,487,413
2014Q2,2014-04-01,544,366
2014Q3,2014-07-01,530,390
2014Q4,2014-10-01,515,405
2015Q1,2015-01-01,504,396
2015Q2,2015-04-01,527,383
2015Q3,2015-07-01,505,415
2015Q4,2015-10-01,519,401
2016Q1,2016-01-01,526,384
2016Q2,2016-04-01,464,446
2016Q3,2016-07-01,498,422
2016Q4,2016-10-01,514,406
2017Q1,2017-01-01,516,375
2017Q2,2017-04-01,534,376
2017Q3,2017-07-01,536,384
2017Q4,2017-10-01,513,407
2018Q1,2018-01-01,468,432
2018Q2,2018-04-01,494,416
2018Q3,2018-07-01,463,457
2018Q4,2018-10-01,475,445
2019Q1,2019-01-01,424,476
2019Q2,2019-04-01,506,404
2019Q3,2019-07-01,484,436
2019Q4,2019-10-01,469,451
2020Q1,2020-01-01,461,439
2020Q2,2020-04-01,437,473
2020Q3,2020-07-01,514,406
2020Q4,2020-10-01,484,436
2021Q1,2021-01-01,480,420
2021Q2,2021-04-01,485,406
