interval,publish_date,Positive,Negative
2007Q1,2007-01-01,360,540
2007Q2,2007-04-01,364,546
2007Q3,2007-07-01,368,552
2007Q4,2007-10-01,368,552
2008Q1,2008-01-01,364,546
2008Q2,2008-04-01,364,546
2008Q3,2008-07-01,368,552
2008Q4,2008-10-01,368,552
2009Q1,2009-01-01,360,540
2009Q2,2009-04-01,364,546
2009Q3,2009-07-01,368,552
2009Q4,2009-10-01,360,540
2010Q1,2010-01-01,360,540
2010Q2,2010-04-01,364,546
2010Q3,2010-07-01,360,560
2010Q4,2010-10-01,300,610
2011Q1,2011-01-01,314,586
2011Q2,2011-04-01,370,540
2011Q3,2011-07-01,347,573
2011Q4,2011-10-01,324,596
2012Q1,2012-01-01,303,607
2012Q2,2012-04-01,262,648
2012Q3,2012-07-01,254,656
2012Q4,2012-10-01,307,613
2013Q1,2013-01-01,271,629
2013Q2,2013-04-01,281,629
2013Q3,2013-07-01,318,602
2013Q4,2013-10-01,294,626
2014Q1,2014-01-01,271,629
2014Q2,2014-04-01,266,644
2014Q3,2014-07-01,288,632
2014Q4,2014-10-01,279,641
2015Q1,2015-01-01,285,615
2015Q2,2015-04-01,287,623
2015Q3,2015-07-01,325,585
2015Q4,2015-10-01,305,615
2016Q1,2016-01-01,314,596
2016Q2,2016-04-01,309,601
2016Q3,2016-07-01,292,618
2016Q4,2016-10-01,298,622
2017Q1,2017-01-01,305,595
2017Q2,2017-04-01,285,615
2017Q3,2017-07-01,279,631
2017Q4,2017-10-01,300,620
2018Q1,2018-01-01,287,613
2018Q2,2018-04-01,314,596
2018Q3,2018-07-01,292,628
2018Q4,2018-10-01,310,600
2019Q1,2019-01-01,276,624
2019Q2,2019-04-01,277,633
2019Q3,2019-07-01,255,665
2019Q4,2019-10-01,262,648
2020Q1,2020-01-01,244,666
2020Q2,2020-04-01,225,685
2020Q3,2020-07-01,254,666
2020Q4,2020-10-01,255,655
2021Q1,2021-01-01,225,675
2021Q2,2021-04-01,236,674
