interval,publish_date,Positive,Negative
2007Q1,2007-01-01,357,543
2007Q2,2007-04-01,379,531
2007Q3,2007-07-01,332,588
2007Q4,2007-10-01,342,578
2008Q1,2008-01-01,353,557
2008Q2,2008-04-01,395,515
2008Q3,2008-07-01,352,568
2008Q4,2008-10-01,378,542
2009Q1,2009-01-01,348,552
2009Q2,2009-04-01,405,505
2009Q3,2009-07-01,409,511
2009Q4,2009-10-01,389,531
2010Q1,2010-01-01,371,529
2010Q2,2010-04-01,355,555
2010Q3,2010-07-01,399,521
2010Q4,2010-10-01,396,521
2011Q1,2011-01-01,392,508
2011Q2,2011-04-01,426,484
2011Q3,2011-07-01,380,540
2011Q4,2011-10-01,432,488
2012Q1,2012-01-01,399,511
2012Q2,2012-04-01,388,522
2012Q3,2012-07-01,412,508
2012Q4,2012-10-01,405,515
2013Q1,2013-01-01,460,440
2013Q2,2013-04-01,664,246
2013Q3,2013-07-01,661,259
2013Q4,2013-10-01,668,252
2014Q1,2014-01-01,632,268
2014Q2,2014-04-01,654,256
2014Q3,2014-07-01,667,253
2014Q4,2014-10-01,693,227
2015Q1,2015-01-01,688,212
2015Q2,2015-04-01,658,252
2015Q3,2015-07-01,697,223
2015Q4,2015-10-01,692,228
2016Q1,2016-01-01,651,259
2016Q2,2016-04-01,667,243
2016Q3,2016-07-01,677,243
2016Q4,2016-10-01,658,262
2017Q1,2017-01-01,628,272
2017Q2,2017-04-01,611,268
2017Q3,2017-07-01,649,271
2017Q4,2017-10-01,622,298
2018Q1,2018-01-01,576,324
2018Q2,2018-04-01,622,288
2018Q3,2018-07-01,609,311
2018Q4,2018-10-01,611,309
2019Q1,2019-01-01,614,286
2019Q2,2019-04-01,651,259
2019Q3,2019-07-01,647,273
2019Q4,2019-10-01,633,287
2020Q1,2020-01-01,642,268
2020Q2,2020-04-01,608,302
2020Q3,2020-07-01,635,285
2020Q4,2020-10-01,497,202
2021Q1,2021-01-01,613,287
2021Q2,2021-04-01,662,248
