interval,publish_date,Positive,Negative
2007Q1,2007-01-01,463,437
2007Q2,2007-04-01,518,392
2007Q3,2007-07-01,653,267
2007Q4,2007-10-01,722,198
2008Q1,2008-01-01,682,228
2008Q2,2008-04-01,663,247
2008Q3,2008-07-01,620,300
2008Q4,2008-10-01,628,292
2009Q1,2009-01-01,549,351
2009Q2,2009-04-01,590,320
2009Q3,2009-07-01,668,252
2009Q4,2009-10-01,619,301
2010Q1,2010-01-01,607,293
2010Q2,2010-04-01,604,306
2010Q3,2010-07-01,635,285
2010Q4,2010-10-01,644,276
2011Q1,2011-01-01,635,265
2011Q2,2011-04-01,673,237
2011Q3,2011-07-01,671,249
2011Q4,2011-10-01,593,327
2012Q1,2012-01-01,599,311
2012Q2,2012-04-01,518,392
2012Q3,2012-07-01,551,369
2012Q4,2012-10-01,559,361
2013Q1,2013-01-01,540,360
2013Q2,2013-04-01,555,355
2013Q3,2013-07-01,562,358
2013Q4,2013-10-01,631,289
2014Q1,2014-01-01,688,212
2014Q2,2014-04-01,673,237
2014Q3,2014-07-01,708,212
2014Q4,2014-10-01,704,216
2015Q1,2015-01-01,718,182
2015Q2,2015-04-01,738,172
2015Q3,2015-07-01,690,230
2015Q4,2015-10-01,708,212
2016Q1,2016-01-01,672,238
2016Q2,2016-04-01,680,230
2016Q3,2016-07-01,614,306
2016Q4,2016-10-01,584,336
2017Q1,2017-01-01,587,313
2017Q2,2017-04-01,631,279
2017Q3,2017-07-01,640,280
2017Q4,2017-10-01,676,244
2018Q1,2018-01-01,681,219
2018Q2,2018-04-01,732,178
2018Q3,2018-07-01,732,188
2018Q4,2018-10-01,748,172
2019Q1,2019-01-01,687,213
2019Q2,2019-04-01,708,202
2019Q3,2019-07-01,742,178
2019Q4,2019-10-01,710,210
2020Q1,2020-01-01,616,294
2020Q2,2020-04-01,530,380
2020Q3,2020-07-01,553,367
2020Q4,2020-10-01,661,259
2021Q1,2021-01-01,667,233
2021Q2,2021-04-01,643,267
