interval,publish_date,Positive,Negative
2007Q1,2007-01-01,377,523
2007Q2,2007-04-01,377,533
2007Q3,2007-07-01,396,524
2007Q4,2007-10-01,443,477
2008Q1,2008-01-01,487,423
2008Q2,2008-04-01,436,454
2008Q3,2008-07-01,436,474
2008Q4,2008-10-01,421,489
2009Q1,2009-01-01,433,467
2009Q2,2009-04-01,450,460
2009Q3,2009-07-01,449,471
2009Q4,2009-10-01,441,469
2010Q1,2010-01-01,434,466
2010Q2,2010-04-01,401,509
2010Q3,2010-07-01,433,487
2010Q4,2010-10-01,425,495
2011Q1,2011-01-01,367,533
2011Q2,2011-04-01,409,501
2011Q3,2011-07-01,381,539
2011Q4,2011-10-01,387,533
2012Q1,2012-01-01,433,467
2012Q2,2012-04-01,392,508
2012Q3,2012-07-01,399,521
2012Q4,2012-10-01,411,509
2013Q1,2013-01-01,442,458
2013Q2,2013-04-01,411,489
2013Q3,2013-07-01,384,476
2013Q4,2013-10-01,436,484
2014Q1,2014-01-01,357,543
2014Q2,2014-04-01,392,508
2014Q3,2014-07-01,362,538
2014Q4,2014-10-01,390,510
2015Q1,2015-01-01,369,521
2015Q2,2015-04-01,400,510
2015Q3,2015-07-01,395,515
2015Q4,2015-10-01,374,536
2016Q1,2016-01-01,404,496
2016Q2,2016-04-01,335,575
2016Q3,2016-07-01,347,573
2016Q4,2016-10-01,379,531
2017Q1,2017-01-01,275,615
2017Q2,2017-04-01,322,588
2017Q3,2017-07-01,343,567
2017Q4,2017-10-01,293,617
2018Q1,2018-01-01,280,620
2018Q2,2018-04-01,320,590
2018Q3,2018-07-01,380,520
2018Q4,2018-10-01,471,439
2019Q1,2019-01-01,421,469
2019Q2,2019-04-01,435,475
2019Q3,2019-07-01,457,433
2019Q4,2019-10-01,470,440
2020Q1,2020-01-01,413,487
2020Q2,2020-04-01,438,472
2020Q3,2020-07-01,457,463
2020Q4,2020-10-01,498,412
2021Q1,2021-01-01,445,435
2021Q2,2021-04-01,483,427
